Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Morocco,%,false,4.03,3.10,-0.84,8.41,1.55,1.67,4.72,2.13,4.92,2.39,8.96,3.47,0.51,8.45,4.94,4.15,1.94,4.55,0.86,5.54,11.36,2.81,0.98,2.14,3.19,-1.83,5.11
Ecuador,%,false,1.21,3.17,-0.32,2.19,4.16,4.35,2.52,-1.29,-3.20,-0.98,-4.65,0.48,0.77,3.48,1.93,3.08,0.15,1.56,3.92,3.20,-11.67,1.54,3.67,1.00,-1.63,9.21,-1.05
Israel,%,false,2.45,6.18,8.49,6.42,6.93,5.25,4.86,2.10,3.30,7.09,-0.12,2.74,1.09,1.43,-1.73,5.67,3.97,0.80,-0.49,6.50,0.25,7.96,-8.44,-1.58,2.71,0.05,1.83
Central African Republic,%,false,1.17,0.74,0.74,4.44,0.82,-15.75,6.26,8.96,-4.93,2.48,11.86,-6.00,19.80,-13.51,8.46,-0.62,3.60,0.40,-12.60,11.38,5.46,-3.48,0.63,-1.34,4.70,9.22,-4.75
Greece,%,false,0.11,2.20,0.38,2.71,4.42,1.03,1.05,4.00,0.83,5.10,0.33,0.32,2.82,-0.32,1.73,-1.32,2.81,-3.14,-5.71,-5.90,0.07,-4.82,-7.48,-3.25,-1.90,-1.41,-0.44
Romania,%,false,-17.27,-10.54,-6.29,-2.03,3.32,1.90,-7.18,-10.72,-10.71,3.55,2.42,-2.24,4.32,-2.07,-1.15,1.06,-2.75,-1.53,-12.60,-2.69,-247.55,1.64,5.69,0.50,-0.93,-146.86,3.29
Oman,%,false,29.57,-5.36,-3.63,-0.55,11.16,1.95,8.05,1.08,15.53,9.02,10.22,5.51,2.33,-0.39,1.27,30.49,8.89,-1.44,6.35,8.32,11.91,11.26,4.49,5.56,5.81,2.09,0.85
Azerbaijan,%,false,12.00,-28.21,13.48,-9.53,-3.29,-7.75,0.17,1.51,0.55,3.73,0.16,1.57,-3.85,2.24,6.80,4.84,-2.04,11.77,1.27,5.87,2.96,1.47,-0.57,0.23,-1.47,1.00,-1.70
Kenya,%,false,-3.62,0.00,-0.61,0.80,1.06,-1.39,0.11,4.12,6.50,-2.71,53.01,1.67,1.74,4.67,0.64,0.78,28.16,1.74,0.54,2.06,-5.56,-0.85,2.67,3.82,3.33,-12.61,-3.89
New Zealand,%,false,-1.21,1.93,-2.03,3.88,2.72,1.13,4.77,-2.98,4.61,0.29,11.23,2.71,4.15,-2.23,2.52,0.42,-2.10,0.04,-4.66,-0.37,9.70,3.61,-0.66,0.76,-0.08,7.43,2.37
Uganda,%,false,1.61,0.95,1.26,-0.72,2.34,2.28,4.06,4.12,-0.11,-0.20,-0.47,2.42,4.70,0.53,5.29,-1.19,7.83,15.15,1.90,5.10,1.26,3.33,1.58,2.76,2.81,4.00,1.62
Cambodia,%,false,-0.72,2.51,3.52,-3.92,8.25,-13.05,5.27,13.44,-1.59,-5.71,2.23,8.73,8.24,2.69,-4.45,10.60,2.63,-0.65,4.37,-3.05,174.06,-1.60,0.44,0.65,2.64,-33.53,3.02
South Sudan,%,false,2.46,6.58,5.07,4.53,1.77,9.24,9.88,9.99,5.68,3.77,-7.73,6.27,4.41,3.45,4.89,-1.51,5.37,1.28,2.69,-1.02,-4.60,1.59,-5.52,-3.92,-4.31,5.92,-4.01
Austria,%,false,6.70,-8.64,-0.13,0.15,4.05,5.84,-1.50,-0.03,-2.75,0.32,17.94,1.71,6.54,0.99,0.05,-2.78,-3.79,-0.56,-8.94,8.08,-3.70,-4.37,0.78,-5.31,1.68,0.18,3.17
Portugal,%,false,2.96,6.76,-1.71,3.05,5.86,-2.27,3.44,7.47,9.11,-0.62,-2.00,6.20,-5.85,2.41,3.85,-6.32,-1.80,-2.93,-1.16,-7.13,-3.34,-2.55,-2.63,-0.64,6.60,0.26,7.41
Belarus,%,false,-4.85,-13.92,-14.95,-17.94,-13.41,1.47,0.82,-3.58,-4.46,-5.31,15.32,-2.14,1.94,7.01,1.33,5.50,-2.07,6.97,-4.52,7.57,8.74,2.29,0.86,-0.95,-6.13,-8.57,2.43
Singapore,%,false,10.09,7.47,18.46,8.07,2.81,2.94,0.20,-2.04,1.91,9.17,-0.54,-1.60,-5.75,2.81,-5.17,0.91,2.52,0.58,1.06,7.15,5.47,-0.66,1.56,2.04,2.84,2.37,3.14
Papua New Guinea,%,false,2.73,2.53,2.62,2.11,8.29,-1.25,32.06,-22.62,2.45,2.90,-0.15,1.64,-0.01,2.91,-2.32,-0.46,-0.35,-1.79,0.18,0.02,16.57,1.24,2.05,2.69,4.33,1.20,0.31
Hungary,%,false,-5.54,-11.60,0.71,-0.45,-2.21,3.05,-2.17,-0.19,0.97,-3.72,4.07,-2.43,3.90,-1.54,-1.21,-1.03,-2.95,-1.97,-8.33,-0.03,-2.59,-6.18,-3.99,0.49,5.16,2.00,3.15
Serbia,%,false,-13.03,-7.66,-9.07,-6.37,12.15,12.34,7.10,-0.39,-23.84,3.60,-52.99,12.17,9.91,16.28,-17.68,7.23,-0.81,-4.00,-10.26,-2.13,129.97,-7.22,1.27,-12.82,11.73,6.71,0.50
Ireland,%,false,1.05,0.39,1.18,2.67,1.46,2.57,2.52,5.60,2.42,4.52,3.76,-1.03,0.40,-1.08,1.73,1.37,-2.26,-1.48,-7.71,-2.12,-7.15,2.83,-1.54,0.28,3.04,3.24,-1.00
